epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.6557,1.2019,3.08773,1.08661,0.90582,0.05885,0.86131,0.51764,1.0257,2.88117,0.91145,0.000654545,0.000654545,0.000654545
2,68.8375,1.20519,2.03358,1.05652,0.95261,0.92355,0.96637,0.63857,1.13901,1.61956,1.02306,0.00119041,0.00119041,0.00119041
3,95.5777,1.16702,1.5769,1.0867,0.95906,0.90826,0.97615,0.65704,1.13002,1.30645,1.00846,0.00159428,0.00159428,0.00159428
4,123.522,1.10864,1.26641,1.02288,0.93904,0.94221,0.97016,0.69299,0.96331,0.95434,0.94276,0.001406,0.001406,0.001406
5,150.72,1.09206,1.07272,1.00891,0.98315,0.9633,0.99229,0.68905,1.02752,0.91274,0.95094,0.001208,0.001208,0.001208
6,177.33,1.01979,0.9116,0.97351,0.98746,0.96024,0.99203,0.73726,0.88285,0.61466,0.90015,0.00101,0.00101,0.00101
7,206.008,0.97678,0.81573,0.96054,0.9847,0.98441,0.99454,0.74665,0.8912,0.56165,0.91336,0.000812,0.000812,0.000812
8,232.017,0.9357,0.73362,0.95009,0.99676,0.99388,0.99497,0.75189,0.86506,0.50851,0.90529,0.000614,0.000614,0.000614
9,261.496,0.90042,0.67619,0.94553,0.98492,0.99869,0.99479,0.76666,0.83569,0.47784,0.88373,0.000416,0.000416,0.000416
10,292.078,0.86595,0.62486,0.90363,0.99389,0.99567,0.99497,0.78073,0.78115,0.44152,0.87105,0.000218,0.000218,0.000218
